Company ID,Corporate Income Tax Rate,Net Sales,Operating Expenses,Other Income,Gross Profit Margin,Operating Cash Flow,Current Assets,Current Liabilities,Effective Tax Rate,Inventory Turnover,Return on Assets (ROA),Number of Employees,Business Location,Industry Type,Changes in Key Personnel
MNO-021,17%,"$6,000,000","$3,000,000","$250,000",32%,"$1,000,000","$3,000,000","$500,000",23%,12,11%,100,Chennai,Retail,Yes
MNO-022,19%,"$3,000,000","$1,000,000","$100,000",10%,"$200,000","$1,000,000","$800,000",16%,15,18%,210,Mumbai,Services,No
MNO-023,14%,"$7,000,000","$3,500,000","$250,000",20%,"$1,200,000","$3,000,000","$1,000,000",24%,10,12%,190,Kolkata,Finance,No
MNO-024,16%,"$3,000,000","$1,500,000","$100,000",15%,"$300,000","$1,000,000","$900,000",19%,7,18%,170,Delhi,Development,No
MNO-025,19%,"$7,000,000","$3,000,000","$300,000",31%,"$1,000,000","$3,000,000","$500,000",23%,8,10%,160,Goa,Manufacturing,Yes
MNO-026,21%,"$8,000,000","$3,500,000","$350,000",29%,"$1,200,000","$3,200,000","$1,000,000",19%,9,19%,140,Kerala,Technology,No
MNO-027,13%,"$5,000,000","$2,500,000","$250,000",32%,"$900,000","$2,000,000","$500,000",18%,11,13%,130,Gujarat,Retail,No
MNO-028,12%,"$9,000,000","$3,500,000","$450,000",39%,"$1,200,000","$3,500,000","$800,000",17%,9,10%,120,Rajasthan,Services,No
MNO-029,20%,"$5,000,000","$2,500,000","$250,000",29%,"$800,000","$2,500,000","$1,200,000",19%,8,20%,100,Bengaluru,Finance,No
MNO-030,18%,"$2,000,000","$1,000,000","$100,000",35%,"$200,000","$1,000,000","$900,000",22%,7,19%,150,Paris,Development,Yes
MNO-031,15%,"$4,000,000","$1,500,000","$140,000",23%,"$600,000","$1,500,000","$1,000,000",18%,7,13%,160,Chennai,Manufacturing,No
MNO-032,12%,"$5,000,000","$3,000,000","$150,000",20%,"$1,200,000","$2,000,000","$1,800,000",20%,8,18%,150,Mumbai,Technology,Yes
MNO-033,16%,"$6,000,000","$3,500,000","$350,000",15%,"$1,200,000","$2,500,000","$1,400,000",22%,3,10%,210,Kolkata,Retail,Yes
MNO-034,14%,"$7,000,000","$3,000,000","$300,000",37%,"$1,000,000","$1,800,000","$800,000",16%,6,12%,220,Delhi,Services,No
MNO-035,13%,"$9,000,000","$3,500,000","$250,000",38%,"$200,000",$3000000,"$100,000",25%,7,18%,100,Goa,Finance,Yes
MNO-036,11%,"$8,000,000","$3,000,000","$100,000",32%,"$400,000","$3,500,000","$600,000",16%,11,17%,150,Kerala,Development,No
MNO-037,20%,"$4,000,000","$2,500,000","$250,000",36%,"$1,200,000","$2,000,000","$600,000",15%,12,14%,180,Gujarat,Manufacturing,No
MNO-038,19%,"$2,000,000","$3,500,000","$300,000",30%,"$1,000,000","$2,000,000","$800,000",20%,11,11%,150,Rajasthan,Technology,Yes
MNO-039,17%,"$6,000,000","$2,000,000","$250,000",40%,"$700,000","$1,500,000","$1,000,000",28%,10,18%,200,Bengaluru,Retail,Yes
MNO-040,13%,"$5,000,000","$2,500,000","$200,000",21%,"$300,000","$1,000,000","$1,000,000",32%,3,12%,210,Paris,Services,Yes
MNO-041,16%,"$9,000,000","$1,000,000","$150,000",32%,"$1,000,000","$2,000,000","$1,300,000",31%,4,18%,120,Chennai,Manufacturing,Yes
MNO-042,21%,"$7,000,000","$3,000,000","$250,000",10%,"$200,000","$3,000,000","$700,000",18%,14,10%,140,Mumbai,Technology,No
MNO-043,16%,"$6,000,000","$1,000,000","$100,000",20%,"$1,200,000","$2,800,000","$900,000",17%,6,19%,230,Kolkata,Retail,No
MNO-044,15%,"$8,000,000","$3,500,000","$250,000",15%,"$300,000","$3,000,000","$700,000",19%,9,13%,180,Delhi,Services,No
MNO-045,14%,"$2,000,000","$1,500,000","$100,000",31%,"$1,000,000","$1,000,000","$600,000",15%,10,10%,140,Goa,Finance,No
MNO-046,13%,"$4,000,000","$3,000,000","$300,000",29%,"$1,200,000","$2,000,000","$1,800,000",23%,12,20%,100,Kerala,Development,Yes
MNO-047,12%,"$2,000,000","$3,500,000","$350,000",32%,"$900,000","$3,000,000","$1,200,000",12%,15,19%,210,Gujarat,Manufacturing,No
MNO-048,19%,"$3,000,000","$2,500,000","$250,000",39%,"$1,200,000","$2,500,000","$500,000",16%,10,12%,190,Rajasthan,Technology,No
MNO-049,20%,"$5,000,000","$3,500,000","$450,000",29%,"$800,000","$2,500,000","$800,000",17%,7,15%,170,Bengaluru,Retail,No
MNO-050,15%,"$7,000,000","$2,500,000","$250,000",35%,"$200,000","$1,500,000","$1,000,000",20%,8,16%,160,Paris,Services,Yes
